NAME,JOINING DATE,E-MAIL ADDRESS,DEPARTMENT,MONTHLY SALARY
Mark,31/12/21,mark@demoemail.com,HR,$5830
Brian,31/12/21,brain@demoemail.com,SALES,$5450
Alan,14/01/22,alan@demoemail.com,LEGAL,$4920
Tony,14/01/22,tony@demoemail.com,RETAIL,$2785
Agathia,01/02/22,agathia@demoemail.com,SALES,$3450
Lana,01/02/22,lana@demoemail.com,ACCOUNTING,$3125
Anderson,01/03/22,andreson@demoemail.com,SALES,$3450
Michael,01/03/22,michael@demoemail.com,REATIL,$2785
David,15/03/22,david@demoemail.com,SALES,$3450
Jacob,15/03/22,jacob@demoemail.com,SUPPORT,$2500
